Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
307 /sn/app/login/login,150,164,70,658,659,660,17,661,0.000%,24.28756,131.85,9.27
325 /sn/app/Login/AttemptLogin,150,5824,5784,6514,6659,7200,2990,8928,0.000%,10.23611,120.41,16.77
351 /sn/app/CRMNextCache/CustomNavigation,150,64,28,196,294,360,14,421,0.000%,14.36094,24.15,8.89
352 /sn/app/CRMNextCache/CustomHeader,150,85,55,190,236,361,21,365,0.000%,14.32391,50.29,8.80
353 /sn/app/CustomView/SaveCutomViewPRSSettings,150,1524,1455,2179,2218,2262,730,2275,0.000%,12.71402,4.57,8.23
356 /sn/app/CRMNextCache/GetTeamTree,150,51,23,90,291,404,10,623,0.000%,13.67864,20.04,7.96
358 /sn/app/Media/ObjectImage,150,19,6,24,48,306,2,351,0.000%,13.71366,50.29,7.67
364 /sn/app/Media/ObjectImage,150,23,7,28,86,311,2,315,0.000%,13.73752,50.38,7.69
355 /sn/app/CustomView/GetFilterCombo,150,1498,1570,2027,2156,2394,700,2457,0.000%,11.28583,4.06,6.81
365 /sn/app/CRMNextObject/Home/Contract,150,8261,7697,10336,10565,10984,4948,11751,0.000%,6.38434,98.06,3.93
368 /sn/app/CRMNextCache/CustomNavigation,150,57,25,111,319,356,14,486,0.000%,8.15883,13.72,5.08
369 /sn/app/CRMNextCache/GetTeamTree,150,69,38,113,237,824,14,984,0.000%,7.81779,11.45,4.58
372 /sn/app/CustomView/SaveCutomViewPRSSettings,150,2519,2279,4107,4240,4435,1043,4518,0.000%,6.43142,2.31,4.20
373 /sn/app/CustomView/GetFilterCombo,150,2673,2537,3457,3853,4137,1028,4262,0.000%,5.91716,4.33,3.61
381 /sn/app/crmnextobject/detail/Contract,150,12093,11123,15945,16292,16893,7203,16930,0.000%,4.30046,270.83,2.85
404 /sn/app/CRMNextCache/CustomNavigation,150,496,336,1444,1562,2049,15,2088,0.000%,5.59493,17.69,4.45
406 /sn/app/CRMNextCache/GetTeamTree,150,468,296,1342,1591,2137,15,2435,0.000%,5.59618,8.20,4.25
412 /sn/app/screenFlow/GetHoverOnScreenFlowActions?x=qqzna4xjnksjyfa2fpnbmg3k4j7nstrw6huuvkdjclzr2hhhhfa3m23q5nfvk6ty,150,6660,6265,8779,9022,9751,4152,9965,0.000%,4.84919,108.08,4.27
413 /sn/app/ScreenFlow/RunFlow,150,11997,10163,19772,20335,21374,6644,21739,0.000%,3.29489,899.71,3.03
421 /sn/app/CRMNextCache/CustomNavigation,150,196,89,413,567,1446,16,1499,0.000%,3.95611,20.75,3.48
422 /sn/app/CRMNextControl/GetMultiLevelOptions,150,2237,2240,3491,4440,5455,190,5765,0.000%,3.96155,1.61,4.03
