Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
307 /sn/app/login/login,1,29,29,29,29,29,29,29,0.000%,34.48276,187.20,13.17
325 /sn/app/Login/AttemptLogin,1,608,608,608,608,608,608,608,0.000%,1.64474,19.35,2.70
351 /sn/app/CRMNextCache/CustomNavigation,1,21,21,21,21,21,21,21,0.000%,47.61905,80.08,29.48
352 /sn/app/CRMNextCache/CustomHeader,1,33,33,33,33,33,33,33,0.000%,30.30303,106.39,18.61
353 /sn/app/CustomView/SaveCutomViewPRSSettings,1,30,30,30,30,30,30,30,0.000%,33.33333,11.98,21.58
356 /sn/app/CRMNextCache/GetTeamTree,1,17,17,17,17,17,17,17,0.000%,58.82353,86.17,34.24
358 /sn/app/Media/ObjectImage,1,355,355,355,355,355,355,355,0.000%,2.81690,10.33,1.58
364 /sn/app/Media/ObjectImage,1,15,15,15,15,15,15,15,0.000%,66.66667,244.53,37.30
355 /sn/app/CustomView/GetFilterCombo,1,22,22,22,22,22,22,22,0.000%,45.45455,16.34,27.43
365 /sn/app/CRMNextObject/Home/Contract,1,809,809,809,809,809,809,809,0.000%,1.23609,19.02,0.76
368 /sn/app/CRMNextCache/CustomNavigation,1,20,20,20,20,20,20,20,0.000%,50.00000,84.08,31.10
369 /sn/app/CRMNextCache/GetTeamTree,1,16,16,16,16,16,16,16,0.000%,62.50000,91.55,36.62
372 /sn/app/CustomView/SaveCutomViewPRSSettings,1,30,30,30,30,30,30,30,0.000%,33.33333,11.98,21.74
373 /sn/app/CustomView/GetFilterCombo,1,21,21,21,21,21,21,21,0.000%,47.61905,34.88,29.06
381 /sn/app/crmnextobject/detail/Contract,1,814,814,814,814,814,814,814,0.000%,1.22850,31.39,0.81
404 /sn/app/CRMNextCache/CustomNavigation,1,21,21,21,21,21,21,21,0.000%,47.61905,80.08,37.90
406 /sn/app/CRMNextCache/GetTeamTree,1,16,16,16,16,16,16,16,0.000%,62.50000,91.55,47.42
412 /sn/app/screenFlow/GetHoverOnScreenFlowActions?x=qqzna4xjnksjyfa2fpnbmg3k4j7nstrw6huuvkdjclzr2hhhhfa3m23q5nfvk6ty,1,42,42,42,42,42,42,42,0.000%,23.80952,391.23,20.95
413 /sn/app/ScreenFlow/RunFlow,1,689,689,689,689,689,689,689,0.000%,1.45138,88.37,1.34
